Lenovo Yoga Slim 7-14 82A2005TGE,'17,5',AMD Ryzen 7 4700U,7066.00,992.72,3894.23,1.81,https://www.pricerunner.dk/pl/27-5269488/Baerbar/Lenovo-Yoga-Slim-7-14-82A2005TGE-Sammenlign-Priser
Lenovo ThinkPad L14 Gen 2 20X50038MX,'12,3',AMD Ryzen 7 Pro 5850U ,8184.00,1211.56,4705.33,1.74,https://www.pricerunner.dk/pl/27-3200215105/Baerbar/Lenovo-ThinkPad-L14-Gen-2-20X50038MX-Sammenlign-Priser
Lenovo IdeaPad 3 14ITL6 82H700BHGE,'5,5',Intel Core i7 1135G7 ,5154.00,1.00,1.00,5154.00,https://www.pricerunner.dk/pl/27-3200244718/Baerbar/Lenovo-IdeaPad-3-14ITL6-82H700BHGE-Sammenlign-Priser
Lenovo Yoga Slim 7-14 82A200CGMX,'14,0',AMD Ryzen 5 4500U,5790.00,820.36,2502.22,2.31,https://www.pricerunner.dk/pl/27-3200032283/Baerbar/Lenovo-Yoga-Slim-7-14-82A200CGMX-Sammenlign-Priser
Lenovo IdeaPad Flex 5 81X200D0MX,'12,0',AMD Ryzen 7 4700U,8298.00,992.72,3894.23,2.13,https://www.pricerunner.dk/pl/27-5253318/Baerbar/Lenovo-IdeaPad-Flex-5-81X200D0MX-Sammenlign-Priser
Lenovo Yoga Slim 7-14 82A20039MX,'17,5',AMD Ryzen 7 4800U,7995.00,941.80,4246.00,1.88,https://www.pricerunner.dk/pl/27-5218332/Baerbar/Lenovo-Yoga-Slim-7-14-82A20039MX-Sammenlign-Priser
Lenovo IdeaPad 5 14ALC05 82LM000FMX,'8,3',AMD Ryzen 5 5500U ,4999.00,915.72,3492.12,1.43,https://www.pricerunner.dk/pl/27-3200246844/Baerbar/Lenovo-IdeaPad-5-14ALC05-82LM000FMX-Sammenlign-Priser
Lenovo ThinkBook 14 G2 ITL 20VD 20VD008WGE,'6,0',Intel Core i5 1135G7 ,5890.00,1252.32,3299.76,1.78,https://www.pricerunner.dk/pl/27-3200222677/Baerbar/Lenovo-ThinkBook-14-G2-ITL-20VD-20VD008WGE-Sammenlign-Priser
Lenovo ThinkBook 14 20SL000LMX,'9,0',Intel Core i7 1065G7,6895.00,1107.36,3084.78,2.24,https://www.pricerunner.dk/pl/27-5207516/Baerbar/Lenovo-ThinkBook-14-20SL000LMX-Sammenlign-Priser
Lenovo ThinkPad E14 20T6000KMX,'13,0',AMD Ryzen 7 4700U,8199.00,992.72,3894.23,2.11,https://www.pricerunner.dk/pl/27-5233573/Baerbar/Lenovo-ThinkPad-E14-20T6000KMX-Sammenlign-Priser
HP Pavilion x360 Convertible 14-DH1240no,'13,2',Intel Core i5 10210U,6921.00,859.44,2149.59,3.22,https://www.pricerunner.dk/pl/27-5166443/Baerbar/HP-Pavilion-x360-Convertible-14-DH1240no-Sammenlign-Priser
Lenovo ThinkPad E490 (20N80029GE),'13,0',Intel Core i7 8565U,6363.72,957.92,2292.83,2.78,https://www.pricerunner.dk/pl/27-4930390/Baerbar/Lenovo-ThinkPad-E490-%2820N80029GE%29-Sammenlign-Priser
Lenovo IdeaPad Flex 5 14ALC05 82HU001CMX,'12,0',AMD Ryzen 7 5700U,6999.00,1002.28,4366.81,1.60,https://www.pricerunner.dk/pl/27-3200145701/Baerbar/Lenovo-IdeaPad-Flex-5-14ALC05-82HU001CMX-Sammenlign-Priser
Lenovo ThinkBook 14 20SL000NMX,'9,0',Intel Core i5 1035G1,5995.00,1047.80,2551.34,2.35,https://www.pricerunner.dk/pl/27-5204620/Baerbar/Lenovo-ThinkBook-14-20SL000NMX-Sammenlign-Priser
Lenovo Yoga S940-14 81Q70005MX,'15,0',Intel Core i7 8565U,8999.00,957.92,2292.83,3.92,https://www.pricerunner.dk/pl/27-5068222/Baerbar/Lenovo-Yoga-S940-14-81Q70005MX-Sammenlign-Priser
HP 14s-fq0058no,'8,5',Intel Core i5 4500U,5995.00,1.00,1.00,5995.00,https://www.pricerunner.dk/pl/27-5311349/Baerbar/HP-14s-fq0058no-Sammenlign-Priser
Lenovo ThinkBook 14s Yoga ITL 20WE0021MX,'8,4',Intel Core i5 1135G7 ,8641.00,1252.32,3299.76,2.62,https://www.pricerunner.dk/pl/27-3200036377/Baerbar/Lenovo-ThinkBook-14s-Yoga-ITL-20WE0021MX-Sammenlign-Priser
Lenovo ThinkBook 14 20VD003EMX,'6,0',Intel Core i7 1165G7,7953.00,1290.88,3408.67,2.33,https://www.pricerunner.dk/pl/27-3200006854/Baerbar/Lenovo-ThinkBook-14-20VD003EMX-Sammenlign-Priser
HP 14s-fq0075no,'9,2',AMD Ryzen 7 4700U,5999.00,992.72,3894.23,1.54,https://www.pricerunner.dk/pl/27-5308207/Baerbar/HP-14s-fq0075no-Sammenlign-Priser
Lenovo IdeaPad Flex 5 81X200D1MX,'12,0',AMD Ryzen 5 4500U,6699.00,820.36,2502.22,2.68,https://www.pricerunner.dk/pl/27-5253329/Baerbar/Lenovo-IdeaPad-Flex-5-81X200D1MX-Sammenlign-Priser
Lenovo IdeaPad Flex 5 14ALC05 82HU006QGE,'12,0',AMD Ryzen 7 5700U,6960.66,1002.28,4366.81,1.59,https://www.pricerunner.dk/pl/27-3200145796/Baerbar/Lenovo-IdeaPad-Flex-5-14ALC05-82HU006QGE-Sammenlign-Priser
Lenovo ThinkPad L13 20VH001NMX,'14,1',Intel Core i5 1135G7,8596.00,1252.32,3299.76,2.61,https://www.pricerunner.dk/pl/27-3200009213/Baerbar/Lenovo-ThinkPad-L13-20VH001NMX-Sammenlign-Priser
Lenovo ThinkPad X395 20NL001SMX,'14,5',AMD Ryzen 5 Pro 3500U,7899.00,681.00,1956.75,4.04,https://www.pricerunner.dk/pl/27-5098078/Baerbar/Lenovo-ThinkPad-X395-20NL001SMX-Sammenlign-Priser
Lenovo Yoga 6 (82FN000EMX),'18,0',AMD Ryzen 7 4700U,8799.00,992.72,3894.23,2.26,https://www.pricerunner.dk/pl/27-3200106485/Baerbar/Lenovo-Yoga-6-%2882FN000EMX%29-Sammenlign-Priser
Lenovo ThinkPad E14 Gen 3 R5 5500U 16G 512G No Win,'',AMD Ryzen 5 5500U ,5841.55,915.72,3492.12,1.67,https://www.pricerunner.dk/pl/27-3200257121/Baerbar/Lenovo-ThinkPad-E14-Gen-3-R5-5500U-16G-512G-No-Win-Sammenlign-Priser
Lenovo IdeaPad 5 14ITL05 82FE (82FE005QGE),'11,0',Intel Core i7 1165G7,8689.00,1290.88,3408.67,2.55,https://www.pricerunner.dk/pl/27-3200055446/Baerbar/Lenovo-IdeaPad-5-14ITL05-82FE-%2882FE005QGE%29-Sammenlign-Priser
Lenovo ThinkPad E14 20T60040MX,'13,0',AMD Ryzen 7 4700U,7327.00,992.72,3894.23,1.88,https://www.pricerunner.dk/pl/27-3200006793/Baerbar/Lenovo-ThinkPad-E14-20T60040MX-Sammenlign-Priser
Lenovo Yoga Slim 7-14 82A30041MX,'15,0',Intel Core i7 1165G7,7999.00,1290.88,3408.67,2.35,https://www.pricerunner.dk/pl/27-3200080841/Baerbar/Lenovo-Yoga-Slim-7-14-82A30041MX-Sammenlign-Priser
Lenovo Yoga Slim 7 Carbon 82EV0045MX,'15,0',Intel Core i5 1135G7 ,7499.00,1252.32,3299.76,2.27,https://www.pricerunner.dk/pl/27-3200010090/Baerbar/Lenovo-Yoga-Slim-7-Carbon-82EV0045MX-Sammenlign-Priser
Lenovo ThinkPad L13 20R3000FMX,'14,1',Intel Core i7 10510U,8790.00,971.24,2477.90,3.55,https://www.pricerunner.dk/pl/27-5185285/Baerbar/Lenovo-ThinkPad-L13-20R3000FMX-Sammenlign-Priser
Lenovo Yoga Slim 7-14 82A1006QMX,'15,0',Intel Core i5 1035G4,7978.00,1109.56,2785.66,2.86,https://www.pricerunner.dk/pl/27-5236403/Baerbar/Lenovo-Yoga-Slim-7-14-82A1006QMX-Sammenlign-Priser
Lenovo ThinkPad E14 20RA001DPB,'12,8',Intel Core i5 10210U,6000.00,859.44,2149.59,2.79,https://www.pricerunner.dk/pl/27-5223412/Baerbar/Lenovo-ThinkPad-E14-20RA001DPB-Sammenlign-Priser
Lenovo ThinkBook 13s G3 20YA0005GE,'12,3',AMD Ryzen 7 5800U,8669.00,1382.68,5520.52,1.57,https://www.pricerunner.dk/pl/27-3200247415/Baerbar/Lenovo-ThinkBook-13s-G3-20YA0005GE-Sammenlign-Priser
Lenovo ThinkPad E14 Gen 3 20Y7003XGE,'15,8',AMD Ryzen 7 5700U ,8389.00,1002.28,4366.81,1.92,https://www.pricerunner.dk/pl/27-3200245488/Baerbar/Lenovo-ThinkPad-E14-Gen-3-20Y7003XGE-Sammenlign-Priser
HP ProBook 445 G7 175V8EA,'',AMD Ryzen 7 4700U ,7796.00,992.72,3894.23,2.00,https://www.pricerunner.dk/pl/27-3200164689/Baerbar/HP-ProBook-445-G7-175V8EA-Sammenlign-Priser
Lenovo ThinkPad L14 Gen 1 20U10016MX,'12,3',Intel Core i7 10510U,8755.00,971.24,2477.90,3.53,https://www.pricerunner.dk/pl/27-3200244217/Baerbar/Lenovo-ThinkPad-L14-Gen-1-20U10016MX-Sammenlign-Priser
